Ano;Região;UF;Estado;Organização Acadêmica;Instituicao;Instituição (Nome);Resultado Primário (Cidadã);Despesa empenhada;Despesa liquidada;Despesa paga;Despesa liq&RP;Despesa empenhada a liquidar;Crédito Disponível
2024;Nordeste;PI;Piauí;"Institutos Federais, Cefet's e Colégio Pedro II";IFPI;Instituto Federal do Piauí;Obrigatório;462248210,36;230236766,78;219557031,99;230792568,78;232011443,58;33396891,64
2024;Nordeste;PI;Piauí;Universidades Federais;UFPI - CTBJ;Colégio Técnico de Bom Jesus da UFPI;Discricionário;12411703,71;8219979,90;7872481,48;9270634,36;4191723,81;3018567,22
2024;Nordeste;PI;Piauí;Universidades Federais;UFPI - CTBJ;Colégio Técnico de Bom Jesus da UFPI;Emenda de Comissão;;;;317,00;;
2024;Nordeste;PI;Piauí;Universidades Federais;UFPI - CTF;Colégio Técnico de Floriano da UFPI;Discricionário;12411703,71;8219979,90;7872481,48;9270634,36;4191723,81;3018567,22
2024;Nordeste;PI;Piauí;Universidades Federais;UFPI - CTF;Colégio Técnico de Floriano da UFPI;Emenda de Comissão;;;;317,00;;
2024;Nordeste;PI;Piauí;Universidades Federais;UFPI-CAT;Colégio Técnico de Teresina da UFPI;Discricionário;12411703,71;8219979,90;7872481,48;9270634,36;4191723,81;3018567,22
2024;Nordeste;PI;Piauí;Universidades Federais;UFPI-CAT;Colégio Técnico de Teresina da UFPI;Emenda de Comissão;;;;317,00;;
2024;Nordeste;RN;Rio Grande do Norte;"Institutos Federais, Cefet's e Colégio Pedro II";IFRN;Instituto Federal do Rio Grande do Norte;Discricionário;72294433,13;22396046,06;20475125,17;65245665,40;49898387,07;42970840,12
2024;Nordeste;RN;Rio Grande do Norte;"Institutos Federais, Cefet's e Colégio Pedro II";IFRN;Instituto Federal do Rio Grande do Norte;Emenda de Bancada;843372,65;200000,00;200000,00;9423788,19;643372,65;8071627,35
2024;Nordeste;RN;Rio Grande do Norte;"Institutos Federais, Cefet's e Colégio Pedro II";IFRN;Instituto Federal do Rio Grande do Norte;Emenda de Comissão;;;;2160216,36;;
2024;Nordeste;RN;Rio Grande do Norte;"Institutos Federais, Cefet's e Colégio Pedro II";IFRN;Instituto Federal do Rio Grande do Norte;Emenda Individual;;;;1001528,26;;1100000,00
2024;Nordeste;RN;Rio Grande do Norte;"Institutos Federais, Cefet's e Colégio Pedro II";IFRN;Instituto Federal do Rio Grande do Norte;Financeiro;91881535,00;42364031,04;42364031,04;42364031,04;49517503,96;
2024;Nordeste;RN;Rio Grande do Norte;"Institutos Federais, Cefet's e Colégio Pedro II";IFRN;Instituto Federal do Rio Grande do Norte;Obrigatório;604011535,70;288068125,66;274309729,43;288433289,33;315943410,04;22427610,30
2024;Nordeste;RN;Rio Grande do Norte;Universidades Federais;ESUFRN;Escola de Saúde da UFRN;Discricionário;28927631,01;17155217,74;17148314,88;18402112,86;11772413,27;814417,73
2024;Nordeste;RN;Rio Grande do Norte;Universidades Federais;ESUFRN;Escola de Saúde da UFRN;Emenda de Comissão;;;;14605,66;;
2024;Nordeste;RN;Rio Grande do Norte;Universidades Federais;UFRN - EAJ;Escola Agrícola de Jundiaí da UFRN;Discricionário;28927631,01;17155217,74;17148314,88;18402112,86;11772413,27;814417,73
2024;Nordeste;RN;Rio Grande do Norte;Universidades Federais;UFRN - EAJ;Escola Agrícola de Jundiaí da UFRN;Emenda de Comissão;;;;14605,66;;
2024;Nordeste;RN;Rio Grande do Norte;Universidades Federais;UFRN - MÚSICA;Escola de Música da UFRN;Discricionário;28927631,01;17155217,74;17148314,88;18402112,86;11772413,27;814417,73
2024;Nordeste;RN;Rio Grande do Norte;Universidades Federais;UFRN - MÚSICA;Escola de Música da UFRN;Emenda de Comissão;;;;14605,66;;
2024;Nordeste;SE;Sergipe;"Institutos Federais, Cefet's e Colégio Pedro II";IFS;Instituto Federal de Sergipe;Discricionário;29690356,59;8890794,02;9983293,66;18723085,84;20799562,57;7640339,58
2024;Nordeste;SE;Sergipe;"Institutos Federais, Cefet's e Colégio Pedro II";IFS;Instituto Federal de Sergipe;Emenda Individual;103536,00;;;157994,65;103536,00;1765314,00
2024;Nordeste;SE;Sergipe;"Institutos Federais, Cefet's e Colégio Pedro II";IFS;Instituto Federal de Sergipe;Financeiro;35306114,36;17665025,40;17665025,40;17665025,40;17641088,96;3026488,64
2024;Nordeste;SE;Sergipe;"Institutos Federais, Cefet's e Colégio Pedro II";IFS;Instituto Federal de Sergipe;Obrigatório;256525592,14;131912745,46;126133521,17;131914494,71;124612846,68;26156312,86
2024;Norte;AC;Acre;"Institutos Federais, Cefet's e Colégio Pedro II";IFAC;Instituto Federal do Acre;Discricionário;18447696,00;6132578,96;5756777,98;14487592,75;12315117,04;7090148,86
2024;Norte;AC;Acre;"Institutos Federais, Cefet's e Colégio Pedro II";IFAC;Instituto Federal do Acre;Emenda de Bancada;;;;1225105,99;;3600000,00
2024;Norte;AC;Acre;"Institutos Federais, Cefet's e Colégio Pedro II";IFAC;Instituto Federal do Acre;Emenda Individual;;;;281119,21;;
2024;Norte;AC;Acre;"Institutos Federais, Cefet's e Colégio Pedro II";IFAC;Instituto Federal do Acre;Financeiro;19513541,90;9408549,52;9408549,52;9408549,52;10104992,38;713028,10
2024;Norte;AC;Acre;"Institutos Federais, Cefet's e Colégio Pedro II";IFAC;Instituto Federal do Acre;Obrigatório;115340694,57;57577882,14;54967424,16;57578266,34;57762812,43;8248310,43
2024;Norte;AM;Amazonas;"Institutos Federais, Cefet's e Colégio Pedro II";IFAM;Instituto Federal do Amazonas;Discricionário;48108015,37;32040093,70;23871649,08;48249003,00;16067921,67;29799078,01
2024;Norte;AM;Amazonas;"Institutos Federais, Cefet's e Colégio Pedro II";IFAM;Instituto Federal do Amazonas;Emenda de Bancada;;;;13769477,03;;
2024;Norte;AM;Amazonas;"Institutos Federais, Cefet's e Colégio Pedro II";IFAM;Instituto Federal do Amazonas;Emenda Individual;1591524,74;;;6455,68;1591524,74;3853586,26
2024;Norte;AM;Amazonas;"Institutos Federais, Cefet's e Colégio Pedro II";IFAM;Instituto Federal do Amazonas;Financeiro;50829244,00;23765731,14;23758569,41;23765731,14;27063512,86;923334,00
2024;Norte;AM;Amazonas;"Institutos Federais, Cefet's e Colégio Pedro II";IFAM;Instituto Federal do Amazonas;Obrigatório;341847467,84;171980500,76;164424894,14;172525304,43;169866967,08;26635969,16
