Ano;nomeUnidade;nomeUnidadeRecente;Sigla;Região;Estado;Tipo;siglaIES;Nome do Curso;nomeArea;gNP_CPC Contínuo;gNP_Enade;gNP_DocentesDoutores;gNP_DocentesMestres;gNP_IDD;gNP_Infraestrutura;gNP_OrgDidaticoPedagogica;gNP_OportunidadesAmpliacaoFormacao;gNP_RegimeTrabalho;gNB_DocentesDoutores;gNB_DocentesMestres;gNB_IDD;gNB_Infraestrutura;gNB_OrgDidaticoPedagogica;gNB_OportunidadesAmpliacaoFormacao;gNB_RegimeTrabalho;Cursos;Medida CPC
2017;Campus São Luís Monte Castelo;Campus São Luís Monte Castelo;IFMA;Nordeste;Maranhão;Nota Bruta;IFMA;Engenharia Civil;Engenharia Civil;2,3;2,8;1,8;2,2;1,4;2,2;2,3;3,9;5;0,35;0,66;-1,5;4,5;4,6;5,2;1;1;2,3
2017;Campus São Luís Monte Castelo;Campus São Luís Monte Castelo;IFMA;Nordeste;Maranhão;Nota Padronizada;IFMA;Engenharia Industrial Elétrica;Engenharia Elétrica;2,5;2,2;3;3,6;1,6;2,2;2,8;3,5;5;0,6;0,86;-2;4,5;4,8;4,8;1;1;2,56
2017;Campus São Luís Monte Castelo;Campus São Luís Monte Castelo;IFMA;Nordeste;Maranhão;Nota Bruta;IFMA;Engenharia Industrial Elétrica;Engenharia Elétrica;2,5;2,2;3;3,6;1,6;2,2;2,8;3,5;5;0,6;0,86;-2;4,5;4,8;4,8;1;1;2,56
2017;Campus São Luís Monte Castelo;Campus São Luís Monte Castelo;IFMA;Nordeste;Maranhão;Nota Padronizada;IFMA;Engenharia Industrial Mecânica;Engenharia Mecânica;2,5;2,2;2,8;3,2;1,6;2,8;3,4;3,9;5;0,55;0,84;-1;4,8;5;5,2;1;1;2,59
2017;Campus São Luís Monte Castelo;Campus São Luís Monte Castelo;IFMA;Nordeste;Maranhão;Nota Bruta;IFMA;Engenharia Industrial Mecânica;Engenharia Mecânica;2,5;2,2;2,8;3,2;1,6;2,8;3,4;3,9;5;0,55;0,84;-1;4,8;5;5,2;1;1;2,59
2016;Campus Morrinhos;Campus Morrinhos;IFGoiano;Centro-Oeste;Goiás;Nota Padronizada;IF Goiano;Agronomia;Agronomia;3;2,5;3;5;2,8;2;1,9;2,1;5;0,6;1;-0,5;4,4;5;4,2;1;1;3,04
2016;Campus Morrinhos;Campus Morrinhos;IFGoiano;Centro-Oeste;Goiás;Nota Bruta;IF Goiano;Agronomia;Agronomia;3;2,5;3;5;2,8;2;1,9;2,1;5;0,6;1;-0,5;4,4;5;4,2;1;1;3,04
2016;Campus Morrinhos;Campus Morrinhos;IFGoiano;Centro-Oeste;Goiás;Nota Padronizada;IF Goiano;Zootecnia;Zootecnia;2,3;0,8;2,8;5;1,7;2,8;2,5;2,1;5;0,65;1;-3;4,9;5;4,4;1;1;2,34
2016;Campus Morrinhos;Campus Morrinhos;IFGoiano;Centro-Oeste;Goiás;Nota Bruta;IF Goiano;Zootecnia;Zootecnia;2,3;0,8;2,8;5;1,7;2,8;2,5;2,1;5;0,65;1;-3;4,9;5;4,4;1;1;2,34
2016;Campus Muzambinho;Campus Muzambinho;IFSULDEMINAS;Sudeste;Minas Gerais;Nota Padronizada;IF SUL DE MINAS;Educação Física;Educação Física (Bacharelado);2,8;2,5;1,6;5;2,5;3;2,5;3,8;5;0,35;1;0;5;5;5,2;1;1;2,86
2016;Campus Muzambinho;Campus Muzambinho;IFSULDEMINAS;Sudeste;Minas Gerais;Nota Bruta;IF SUL DE MINAS;Educação Física;Educação Física (Bacharelado);2,8;2,5;1,6;5;2,5;3;2,5;3,8;5;0,35;1;0;5;5;5,2;1;1;2,86
2016;Campus Muzambinho;Campus Muzambinho;IFSULDEMINAS;Sudeste;Minas Gerais;Nota Padronizada;IF SUL DE MINAS;Engenharia Agronômica;Agronomia;3,5;3,4;4;5;3;3,4;2,9;3,8;5;0,8;1;0;5,1;5,2;5,2;1;1;3,6
2016;Campus Muzambinho;Campus Muzambinho;IFSULDEMINAS;Sudeste;Minas Gerais;Nota Bruta;IF SUL DE MINAS;Engenharia Agronômica;Agronomia;3,5;3,4;4;5;3;3,4;2,9;3,8;5;0,8;1;0;5,1;5,2;5,2;1;1;3,6
2016;Campus Palmas;Campus Palmas;IFTO;Norte;Tocantins;Nota Padronizada;IFTO;Agronegócio;Tecnologia em Agronegócios;2,5;2,4;1;4;2,4;1,2;2;2,7;5;0,15;0,86;-1;4,7;5;4,4;1;1;2,51
2016;Campus Palmas;Campus Palmas;IFTO;Norte;Tocantins;Nota Bruta;IFTO;Agronegócio;Tecnologia em Agronegócios;2,5;2,4;1;4;2,4;1,2;2;2,7;5;0,15;0,86;-1;4,7;5;4,4;1;1;2,51
2017;Campus Palmas;Campus Palmas;IFTO;Norte;Tocantins;Nota Padronizada;IFTO;Engenharia Civil;Engenharia Civil;2,9;3,2;1,4;3,2;3;2,8;2,2;2,8;5;0,25;0,8;0,5;4,8;4,6;4,4;1;1;2,93
2017;Campus Palmas;Campus Palmas;IFTO;Norte;Tocantins;Nota Bruta;IFTO;Engenharia Civil;Engenharia Civil;2,9;3,2;1,4;3,2;3;2,8;2,2;2,8;5;0,25;0,8;0,5;4,8;4,6;4,4;1;1;2,93
2017;Campus Palmas;Campus Palmas;IFTO;Norte;Tocantins;Nota Padronizada;IFTO;Engenharia Elétrica;Engenharia Elétrica;2,8;2;3;5;2;2,8;3,4;3;5;0,6;1;;4,9;5;4,4;1;1;2,84
2017;Campus Palmas;Campus Palmas;IFTO;Norte;Tocantins;Nota Bruta;IFTO;Engenharia Elétrica;Engenharia Elétrica;2,8;2;3;5;2;2,8;3,4;3;5;0,6;1;;4,9;5;4,4;1;1;2,84
2017;Campus Aparecida de Goiânia;Campus Aparecida de Goiânia;IFG;Centro-Oeste;Goiás;Nota Padronizada;IFG;Engenharia Civil;Engenharia Civil;2,9;3,4;1;4;2,7;2;2,4;3,5;5;0,2;0,88;0,5;4,4;4,8;4,8;1;1;2,9
2017;Campus Aparecida de Goiânia;Campus Aparecida de Goiânia;IFG;Centro-Oeste;Goiás;Nota Bruta;IFG;Engenharia Civil;Engenharia Civil;2,9;3,4;1;4;2,7;2;2,4;3,5;5;0,2;0,88;0,5;4,4;4,8;4,8;1;1;2,9
2017;Campus Paulo Afonso;Campus Paulo Afonso;IFBA;Nordeste;Bahia;Nota Padronizada;IFBA;Engenharia Elétrica;Engenharia Elétrica;2,5;2,8;0,8;2,6;2,8;2;2;2,7;5;0,15;0,76;0,5;4,4;4,4;4,2;1;1;2,6
2017;Campus Paulo Afonso;Campus Paulo Afonso;IFBA;Nordeste;Bahia;Nota Bruta;IFBA;Engenharia Elétrica;Engenharia Elétrica;2,5;2,8;0,8;2,6;2,8;2;2;2,7;5;0,15;0,76;0,5;4,4;4,4;4,2;1;1;2,6
2017;Campus Pelotas;Campus Pelotas;IFSUL;Sul;Rio Grande do Sul;Nota Padronizada;IFSul;Engenharia Elétrica;Engenharia Elétrica;3,3;3,8;2,2;3,6;3,5;2,6;2,3;2,7;5;0,4;0,86;2;4,7;4,6;4,2;1;1;3,38
2017;Campus Pelotas;Campus Pelotas;IFSUL;Sul;Rio Grande do Sul;Nota Bruta;IFSul;Engenharia Elétrica;Engenharia Elétrica;3,3;3,8;2,2;3,6;3,5;2,6;2,3;2,7;5;0,4;0,86;2;4,7;4,6;4,2;1;1;3,38
2016;Campus Pesqueira;Campus Pesqueira;IFPE;Nordeste;Pernambuco;Nota Padronizada;IFPE;Enfermagem;Enfermagem;2,9;3,1;0,8;2;3,2;3,2;3;3,9;5;0,15;0,56;1,5;5,1;5,4;5,2;1;1;2,91
2016;Campus Pesqueira;Campus Pesqueira;IFPE;Nordeste;Pernambuco;Nota Bruta;IFPE;Enfermagem;Enfermagem;2,9;3,1;0,8;2;3,2;3,2;3;3,9;5;0,15;0,56;1,5;5,1;5,4;5,2;1;1;2,91
2016;Campus Petrolina Zona Rural;Campus Petrolina Zona Rural;IFSERTAO-PE;Nordeste;Pernambuco;Nota Padronizada;IF Sertão;Agronomia;Agronomia;2,6;2,3;1,8;2,6;2,7;2,6;2,7;3,1;5;0,35;0,8;-0,5;4,7;5,2;4,8;1;1;2,68
2016;Campus Petrolina Zona Rural;Campus Petrolina Zona Rural;IFSERTAO-PE;Nordeste;Pernambuco;Nota Bruta;IF Sertão;Agronomia;Agronomia;2,6;2,3;1,8;2,6;2,7;2,6;2,7;3,1;5;0,35;0,8;-0,5;4,7;5,2;4,8;1;1;2,68
2016;Campus Porto Alegre;Campus Porto Alegre;IFRS;Sul;Rio Grande do Sul;Nota Padronizada;IFRS;Gestão Ambiental;Tecnologia em Gestão Ambiental;4,5;4,9;3,6;4,4;4,9;3,8;4,2;4,2;5;0,7;0,92;6,5;5,4;5,6;5,4;1;1;4,56
2016;Campus Porto Alegre;Campus Porto Alegre;IFRS;Sul;Rio Grande do Sul;Nota Bruta;IFRS;Gestão Ambiental;Tecnologia em Gestão Ambiental;4,5;4,9;3,6;4,4;4,9;3,8;4,2;4,2;5;0,7;0,92;6,5;5,4;5,6;5,4;1;1;4,56
2017;Campus Quixadá;Campus Quixadá;IFCE;Nordeste;Ceará;Nota Padronizada;IFCE;Engenharia Ambiental e Sanitária;Engenharia Ambiental;3;3,1;1,2;4,4;2,7;3,6;3,3;3,6;5;0,2;0,96;0;5,3;5,2;5;1;1;3,03
2017;Campus Quixadá;Campus Quixadá;IFCE;Nordeste;Ceará;Nota Bruta;IFCE;Engenharia Ambiental e Sanitária;Engenharia Ambiental;3;3,1;1,2;4,4;2,7;3,6;3,3;3,6;5;0,2;0,96;0;5,3;5,2;5;1;1;3,03
2016;Campus Realengo;Campus Realengo;IFRJ;Sudeste;Rio de Janeiro;Nota Padronizada;IFRJ;Farmácia;Farmácia;2,9;3,1;3;4,4;1,8;2,4;3,6;3,4;5;0,6;0,96;-1,5;4,8;5,4;5;1;1;2,94
